instance_name,CW,DBSCAN+CW,KMeans-DBSCAN-Hybrid+CW,DBSCAN+CW_improvement,KMeans-DBSCAN-Hybrid+CW_improvement
A-n32-k5,1260.4224256381888,1058.6041926739526,914.8913856237193,16.01195193445163,27.413907669844654
A-n33-k6,757.6495684916762,978.9511651905091,879.3077274368985,-29.208964922846675,-16.057312510243836
A-n36-k5,1567.827768623551,1056.6288278765455,1068.4879243201183,32.605554702976356,31.849151692332896
A-n37-k6,1340.4236861540592,1477.4648056021645,1099.326839932828,-10.223716640020244,17.98661488241719
A-n39-k5,1722.8513338157366,1048.0639062412665,1075.2417278898033,39.166898172227334,37.589407351336604
A-n44-k7,1445.2214552497082,1488.4400283148607,1135.5484675090697,-2.990446405854461,21.427372712726065
A-n45-k7,1815.9304330013226,1321.1165285956122,1408.303240260742,27.248505527158045,22.447291225075453
A-n48-k7,2445.5605691306846,1425.8573983109125,1278.1875463056597,41.69609142750624,47.734373769363934
A-n54-k7,2511.066951614075,1387.2377328958885,1273.0470570656232,44.755047968585885,49.302544233345586
A-n60-k9,2444.3083106797612,1808.859612141724,1699.84487298749,25.997076381960966,30.457018635477954
A-n62-k8,3038.0603155973586,1716.4253452815115,1640.0694093695674,43.50259155588821,46.0159036030498
A-n63-k9,3694.965927759137,1969.3854927685386,1934.5958203206546,46.70084836308897,47.642390805646286
A-n65-k9,1987.596442438877,1486.890841444618,1485.869382218364,25.19151223574686,25.24290391689721
A-n80-k10,4558.680892739921,2282.582411085268,1985.3143852554228,49.928883710187506,56.4498057230283
